No,Kode Saham,Nama Perusahaan,Remarks,Sebelumnya,Open Price,Tanggal Perdagangan Terakhir,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
397,JKSW,Jakarta Kyoei Steel Works Tbk.,--U-2100000000B121-E--S------X,60,0,09 Jan 2023,0,0,0,60,0,0,0,0,9.2,0,0,0,0,150000000,150000000,48495000,0,0,0,0,0
398,JMAS,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk.,--U-2130000000G413------------,79,0,09 Jan 2023,0,79,74,74,-5,4293700,318763000,436,52.9,74,1066600,0,0,1000000000,1000000000,381500000,0,0,0,0,0
399,JPFA,Japfa Comfeed Indonesia Tbk.,--MO1HA5M1H000D231------------,1380,1380,09 Jan 2023,1385,1395,1355,1375,-5,18953600,26019371500,3426,375.9,1375,120300,1370,800,11726575201,11726575201,5064707829,3218800,933100,80,111600,1
400,JRPT,Jaya Real Property Tbk.,--M-1135000000H111------------,486,0,09 Jan 2023,0,486,480,486,0,1870400,905409600,154,467.3,486,308500,484,150000,13750000000,13750000000,2234375000,657100,251400,0,0,0
401,JSKY,Sky Energy Indonesia Tbk.,--U-2100000000A211M--L-------X,52,0,09 Jan 2023,0,0,0,52,0,0,0,0,26,0,0,0,0,2032540000,2032535000,1412412046,0,0,0,0,0
402,JSMR,Jasa Marga (Persero) Tbk.,--M-182QL46000J112------------,3050,0,09 Jan 2023,0,3180,3060,3160,110,7230900,22749066000,2494,186.3,3160,11900,3150,535000,7257871200,7257871200,2175909786,110300,1086800,0,0,0
403,JSPT,Jakarta Setiabudi Internasional Tbk.,--U-2135000000E512-----------X,840,0,09 Jan 2023,0,0,0,840,0,0,0,0,180.9,840,5800,0,0,2318736000,2318736000,41737248,0,0,0,0,0
404,JTPE,Jasuindo Tiga Perkasa Tbk.,--U-2135000000C221------------,260,0,09 Jan 2023,0,260,260,260,0,90900,23634000,11,2306.4,260,163100,258,127200,6852050000,6852050000,2002169010,0,0,0,0,0
405,KAEF,Kimia Farma Tbk.,--M-1135050000F211------------,1090,0,09 Jan 2023,0,1090,1065,1075,-15,249000,268912000,246,1075,1075,5200,1070,235200,5554000000,5553999999,553733800,1800,3500,0,0,0
406,KARW,ICTSI Jasa Prima Tbk.,--U-2130000000J113-E---------X,78,0,09 Jan 2023,0,78,74,75,-3,221800,16637000,61,12.7,76,4700,75,10800,587152700,587152700,114964499,0,0,0,0,0
407,KAYU,Darmi Bersaudara Tbk.,--U-2130000000B151-----------X,50,0,09 Jan 2023,0,50,50,50,0,4100,205000,9,33.3,50,5609100,0,0,665000000,150000000,316806000,0,0,0,0,0
408,KBAG,Karya Bersama Anugerah Tbk.,--U-2130000000H111-----------X,50,0,09 Jan 2023,0,50,50,50,0,480400,24020000,39,50,50,46011600,0,0,7150001691,7150001691,3183895753,0,0,690000,24550000,2
409,KBLI,KMI Wire & Cable Tbk.,--M-1135000000C131------------,308,0,09 Jan 2023,0,308,300,302,-6,126200,38141600,23,36.7,302,2542200,300,300,4007235107,4007235107,1968754608,58900,5700,0,0,0
410,KBLM,Kabelindo Murni Tbk.,--M-2130000000C131------------,236,0,09 Jan 2023,0,238,234,238,2,218200,51894600,40,7.9,238,1800,234,16600,1120000000,1120000000,101472000,0,0,0,0,0
411,KBLV,First Media Tbk.,--U-2130000000J311-E---------X,100,0,09 Jan 2023,0,101,97,99,-1,153400,15030900,44,26.3,99,56500,97,24000,1742167907,1742167907,661675371,0,100,0,0,0
412,KBRI,Kertas Basuki Rachmat Indonesia Tbk.,--U-2100000000B152---LS--Y---X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,9.6,0,0,0,0,8687995734,8687995734,2012139812,0,0,0,0,0
413,KDSI,Kedawung Setia Industrial Tbk.,--U-2130000000B131------------,1065,0,09 Jan 2023,0,1100,1055,1055,-10,7600,8138000,23,263.8,1060,900,1050,600,405000000,405000000,35478000,0,0,0,0,0
414,KDTN,Puri Sentul Permai Tbk.,--U-2130000000E512------------,142,0,09 Jan 2023,0,146,139,141,-1,6696900,950636900,902,94,141,68000,139,98700,1250000000,250000000,250000000,24400,23700,0,0,0
415,KEEN,Kencana Energi Lestari Tbk.,--M-1135000000J411------------,600,0,09 Jan 2023,0,600,585,590,-10,3662500,2174585000,719,149,595,2500,590,7300,3666312500,3651279900,979272069,608600,14000,0,0,0
416,KEJU,Mulia Boga Raya Tbk.,--U-2135000000D221------------,1400,0,09 Jan 2023,0,1400,1360,1400,0,25500,35473000,15,186.7,1400,168200,1360,19400,1500000000,1500000000,135900000,0,0,0,0,0
417,KETR,Ketrosden Triasmitra Tbk.,--U-1130000000J311------------,244,0,09 Jan 2023,0,254,230,240,-4,12591200,3049238000,1948,80,242,53300,240,58100,2841262838,426200000,426189426,0,20400,0,0,0
418,KIAS,Keramika Indonesia Assosiasi Tbk.,--U-2130000000C121-----------X,50,0,09 Jan 2023,0,50,50,50,0,10900,545000,2,1.8,50,20188800,0,0,14929100000,14929100000,1252551490,0,0,0,0,0
419,KICI,Kedaung Indah Can Tbk,--U-1130000000E213------------,200,0,09 Jan 2023,0,204,192,204,4,53900,10949100,39,43.3,206,20700,204,9500,276000000,276000000,43276800,0,0,0,0,0
420,KIJA,Kawasan Industri Jababeka Tbk.,--U-1135000000H111------------,145,0,09 Jan 2023,0,145,143,145,0,766800,110763600,132,5,145,297600,144,90500,20824888369,20824888369,12059692854,18900,96800,47000070,6815010150,3
421,KINO,Kino Indonesia Tbk.,--M-1135000000D421------------,1540,0,09 Jan 2023,0,1610,1540,1550,10,170200,268168500,153,40.8,1575,400,1550,105100,1428571500,1428571500,52428574,20800,9900,0,0,0
422,KIOS,Kioson Komersial Indonesia Tbk.,--U-2130000000I111------------,141,0,09 Jan 2023,0,153,133,138,-3,281884600,40184335800,19326,47.4,139,407500,138,1710800,1075859850,1075859850,642180744,22664600,21131400,3250100,445263700,1
